ID,Author,Year,n.c,n.e,mean.e,sd.e,mean.c,sd.c,group
3,Wong et al.,2002,31,29,111,30,123,48,Combined
5,Recart et al.,2003,30,30,80,47,108,58,Combined
103,White et al.,2004,20,20,116,38,185,56,Combined
8,Messieha et al.,2005,14,15,47,17,63,17,Combined
9,Pavlin et al.,2005,831,749,93,1.7,92,1.4,Combined
96,Bruhn et al.,2005,71,71,31.9,15.8,29.7,12.7,Combined
10,Boztug et al.,2006,23,24,26,11,29,16,Combined
11,Zohar et al.,2006,25,25,37,18,35,22,Combined
13,Mayer et al.,2007,22,22,51,18,85,19,IVA
28,Mashour et al.,2012,3383,6076,99.20 ,54.87,97.15,51.17,Combined
38,田悦,2014,24,24,50,17,83,19,IVA
41,Sargin et al.,2015,20,20,29,5.28,52.55,10.84,Combined
44,刘云青,2015,30,30,56,12,65,20,IVA
49,钱露露,2016,90,90,52,20,54,26,IVA
50,张晓青,2017,27,30,30.8,6.9,55.1,20.1,IVA
51,郝利娜,2017,50,50,49.1,15.2,70.3,19.7,IVA
65,刘冰等,2019,50,50,15.1,0.7,19.5,0.8,IVA
68,桂强军等,2019,39,39,20.4,5.3,36.2,10.8,IVA
70,张爱萍等,2020,70,70,31.5,4.2,36.7,5.1,IVA
74,黄梁淘等,2021,42,42,25.2,7.1,39.5,10.4,IVA
78,陈伟涛,2021,42,42,18.6,2,21.7,4.1,IVA
