ID,Author,Year,n.c,n.e,mean.e,sd.e,mean.c,sd.c,group
107,Nelskyla et al.,2001,30,32,40,38,38,49,Combined
3,Wong et al.,2002,31,29,90,16,92,16,Combined
95,Assare et al.,2002,20,20,14,4.8,14,4.8,Combined
4,Puri et al.,2003,16,14,295,45,285,40,Combined
5,Recart et al.,2003,30,30,104,47,106,40,Combined
103,White et al.,2004,20,20,46,20,49,15,Combined
8,Messieha et al.,2005,14,15,133,31,143,33,Combined
9,Pavlin et al.,2005,831,749,146,3,147,3,Combined
96,Bruhn et al.,2005,71,71,85.1,53.6,83.9,47.6,Combined
10,Boztug et al.,2006,23,24,199,27,184,39,Combined
11,Zohar et al.,2006,25,25,31,22,28,16,Combined
12,彭艺等,2006,35,33,10.8,3.4,11.2,2.7,IVA
13,Mayer et al.,2007,22,22,204,78,183,51,IVA
22,刘稚媛,2011,38,38,108.64,16.45,116.14,18.71,IVA
21,李坤,2011,20,20,73.66,28.36,78.68,39.34,IVA
23,张伟,2011,15,15,82.1,4.3,79.5,3.8,IVA
24,王占天,2011,30,30,38.5,8.4,40.1,9.3,IVA
27,吴刚,2011,30,30,125,14,130,16,IVA
29,Persec et al.,2012,20,20,197.97,40.14,175.36,25.43,Combined
31,Bresil et al.,2013,12,12,31,18,29,10,IVA
31,Bresil et al.,2013,16,14,25,6,27,11,IVA
31,Bresil et al.,2013,15,18,47,48,25,8,IVA
31,Bresil et al.,2013,35,35,33,23,38,43,IVA
36,Nitzschke et al.,2014,29,31,246.3,72.7,235.4,61.1,Combined
38,田悦,2014,24,24,194,66,173,41,IVA
39,段静辉,2014,41,41,4.2,0.6,4.1,0.8,IVA
41,Sargin et al.,2015,20,20,51.65,1.66,47.65,1.43,Combined
44,刘云青,2015,30,30,94,69,95,65,IVA
46,姜蓉,2015,396,402,190,22,203,19,IVA
48,孙占磊,2016,40,42,118.7,27.5,121.3,23.9,Combined
49,钱露露,2016,90,90,150,35,165,35,IVA
106,Khoshrang et al.,2016,48,48,132.7,33.34,139.58,67.4,Combined
50,张晓青,2017,27,30,168.6,51.5,178.9,41.5,IVA
51,郝利娜,2017,50,50,163.8,20.9,177.2,43.9,IVA
52,Zhou et al.,2018,40,41,155.44,14.72,154.53,13.81,IVA
55,范龙,2018,54,54,161,20,157,23,IVA
61,郑晓宁,2018,20,20,2.1,0.2,1.9,0.8,IVA
62,叶阮昊,2018,78,78,4.24,0.57,4.22,0.61,IVA
80,邵路军,2021,36,37,43.82,2.04,49.19,2.09,IVA
