ID,Author,Year,CAT,TYPE,n.c,n.e,mean.e,sd.e,mean.c,sd.c,group
19,Liao et al.,2011,单药,芬太尼,54,52,0.025,0.011,0.023,0.009,Child
41,Sargin et al.,2015,单药,丙泊酚,50,50,114.16 ,30.53,150,76.33,Child
24,王占天,2011,单药,丙泊酚,30,30,0.0941,0.0058,0.1075,0.0116,Child
26,沈艳喜,2011,联合用药,七氟烷,15,15,11.2,3,17.6,3.2,Child
26,沈艳喜,2011,联合用药,丙泊酚,15,15,3.2,0.38,4.8,0.23,Child
26,沈艳喜,2011,联合用药,芬太尼,15,15,0.01076,0.00736,0.01624,0.00279,Child
43,蒋耀光,2015,联合用药,瑞芬太尼,40,40,0.00008,0.00002,0.00015,0.00003,Child
43,蒋耀光,2015,联合用药,丙泊酚,40,40,0.0925,0.0121,0.1223,0.0118,Child
47,齐金莲,2015,联合用药,丙泊酚,30,30,225.77,20.44,178.03,12.87,Child
47,齐金莲,2015,联合用药,瑞芬太尼,30,30,0.39,0.08,0.61,0.13,Child
3,Wong et al.,2002,单药,丙泊酚,31,29,146,44,141,43,Old
3,Wong et al.,2002,单药,芬太尼,31,29,0.307,0.064,0.31,0.095,Old
3,Wong et al.,2002,单药,异氟醚,31,29,5.6,2.6,7.7,3.4,Old
11,Zohar et al.,2006,单药,芬太尼,25,25,0.092,0.028,0.093,0.014,Old
30,Chan et al.,2013,单药,丙泊酚,452,450,136,30,148,33,Old
52,Zhou et al.,2018,单药,瑞芬太尼,40,41,811.1,79.45,1075,96.75,Old
22,刘稚媛,2011,联合用药,瑞芬太尼,38,38,1.21,0.43,1.82,0.84,Old
22,刘稚媛,2011,联合用药,丙泊酚,38,38,798.74,82.63,970.12,76.47,Old
35,陈琳,2013,单药,丙泊酚,66,84,591,51,695,78,Old
39,段静辉,2014,单药,丙泊酚,41,41,678,78,823,97,Old
51,郝利娜,2017,联合用药,丙泊酚,50,50,975.6,160.7,1061,147.9,Old
51,郝利娜,2017,联合用药,舒芬太尼,50,50,0.0526,0.007,0.0498,0.0094,Old
51,郝利娜,2017,联合用药,瑞芬太尼,50,50,1.8,0.4,1.8,0.4,Old
55,范龙,2018,联合用药,丙泊酚,54,54,966,130,1152,142,Old
55,范龙,2018,联合用药,瑞芬太尼,54,54,2,0.5,2.2,0.4,Old
55,范龙,2018,联合用药,顺式阿曲库铵,54,54,31,3,32,4,Old
58,张琦,2018,联合用药,丙泊酚,40,40,495.74,52.11,601.29,78.96,Old
58,张琦,2018,联合用药,舒芬太尼,40,40,0.92,0.18,1.41,0.27,Old
60,姜景卫,2018,单药,丙泊酚,40,40,659,36,680,49,Old
61,郑晓宁,2018,联合用药,丙泊酚,20,20,560.25,72.2,618.32,73.9,Old
61,郑晓宁,2018,联合用药,瑞芬太尼,20,20,1.16,0.25,1.35,0.33,Old
61,郑晓宁,2018,联合用药,罗库溴铵,20,20,63.72,7.51,65.56,6.28,Old
62,叶阮昊,2018,单药,丙泊酚,78,78,667.17,112.39,816.24,134.27,Old
49,钱露露,2016,单药,丙泊酚,90,90,798,192,1015,247,Old
82,耿莹等,2022,联合用药,丙泊酚,52,52,492.27,51.36,625.06,70.18,Old
74,黄梁淘等,2021,联合用药,丙泊酚,42,42,651.5,21.4,795.2,28.6,Old
75,李其金等,2021,联合用药,丙泊酚,46,46,315.5,24.2,342.6,26.8,Old
75,李其金等,2021,联合用药,舒芬太尼,46,46,0.397,0.0033,0.0391,0.0042,Old
76,吴正文等,2021,联合用药,丙泊酚,55,54,624.26,36.15,681.69,49.61,Old
69,陈陈燕等,2020,联合用药,丙泊酚,58,58,7.63,1.27,13.56,1.82,Old
69,陈陈燕等,2020,联合用药,顺苯磺酸阿曲库铵,58,58,5.61,1.19,9.59,1.65,Old
69,陈陈燕等,2020,联合用药,舒芬太尼,58,58,0.00145,0.00083,0.00283,0.00104,Old
72,李小莉,2020,联合用药,丙泊酚,40,40,4.31,0.09,5.28,0.17,Old
