ID,Author,Year,Events.E,Total.E,Events.C,Total.C,Group
4,Puri et al.,2003,0,14,1,16,Combined
25,陈金篆,2011,0,20,2,20,IVA
32,刘忠玉,2013,0,20,1,20,IVA
43,蒋耀光,2015,0,40,1,40,IVA
46,姜蓉,2015,0,396,4,402,IVA
59,王芳茹,2018,0,73,1,73,Combined
61,郑晓宁,2018,0,20,3,20,IVA
82,耿莹等,2022,0,52,2,52,IVA
42,姚莺,2015,1,70,2,70,IVA
54,陈星曲,2018,1,35,8,34,IVA
67,袁秀仪等,2019,1,51,2,51,IVA
20,Zhang et al.,2011,4,2919,15,2309,IVA
95,Assare et al.,2002,0,20,0,20,Combined
96,Bruhn et al.,2005,0,71,0,71,Combined
97,Ellerkmann et al.,2010,0,27,0,27,IVA
98,Kamal et al.,2009,0,29,0,28,Combined
99,Kreuer et al.,2003,0,40,0,40,Combined
100,Mozafari et al.,2014,9,163,7,170,Combined
102,Sudhakaran et al.,2018,0,21,0,21,Combined
103,White et al.,2004,0,20,0,20,Combined
40,Guo et al,2015,0,20,0,20,IVA
11,Zohar et al.,2006,0,25,0,25,Combined
3,Wong et al.,2002,0,29,0,31,Combined
