ID,Author,Year,n.c,n.e,mean.e,sd.e,mean.c,sd.c,Group
107,Nelskyla et al.,2001,30,32,6,2,8,2,Combined
3,Wong et al.,2002,31,29,16.9,2.2,19.1,2.1,Combined
103,White et al.,2004,20,20,7,3,10,4,Combined
11,Zohar et al.,2006,25,25,10.9,2.9,9.8,2.3,Combined
17,蒋亚峰等,2009,35,35,27.12,5.98,38.23,8.11,Combined
98,Kamal et al.,2009,28,29,7.4,1.5,11.2,1.9,Combined
18,徐源,2010,33,33,7.41,2.06,10.56,2.37,IVA
27,吴刚,2011,30,30,14.6,3.2,22.1,5.3,IVA
59,王芳茹,2018,73,73,28.96,2.56,49.67,1.04,Combined
64,高英超,2019,56,56,7.11,2.03,9.85,2.05,IVA
80,邵路军,2021,36,37,23.81,4.09,28.16,4.05,IVA
