STUDY,Random sequence generation,Allocation concealment,Blinding of participants and personnel,Blinding of outcome assessment,Incomplete outcome data,Selective reporting ,Other sources of bias
Tong et al.1997,LOW,LOW,HIGH,LOW,HIGH,Some concern ,LOW
Bannister et al.2001,LOW,Some concern ,LOW,LOW,LOW,LOW,LOW
Nelskyla et al.2001,Some concern ,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
Wong et al.2002,HIGH,Some concern ,HIGH,LOW,HIGH,Some concern ,LOW
Assare et al.2002,Some concern ,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
Puri et al.2003,LOW,LOW,LOW,LOW,LOW,LOW,LOW
Recart et al.2003,Some concern ,LOW,LOW,LOW,LOW,LOW,LOW
Kreuer et al.2003,LOW,Some concern ,HIGH,LOW,LOW,Some concern ,LOW
Basar et al.2003,Some concern ,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
Myles et al.2004,LOW,LOW,LOW,LOW,LOW,LOW,LOW
White et al.2004,Some concern ,Some concern ,HIGH,LOW,LOW,Some concern ,LOW
Kreuer et al.2005,LOW,Some concern ,HIGH,LOW,LOW,Some concern ,LOW
Messieha et al.2005,Some concern ,Some concern ,LOW,LOW,LOW,LOW,LOW
Pavlin et al.2005,Some concern ,LOW,LOW,LOW,LOW,LOW,LOW
Bruhn et al.2005,LOW,Some concern ,HIGH,LOW,LOW,Some concern ,LOW
Boztug et al.2006,LOW,LOW,LOW,LOW,LOW,LOW,LOW
Zohar et al.2006,Some concern ,Some concern ,HIGH,LOW,LOW,Some concern ,LOW
彭艺等2006,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
Mayer et al.2007,Some concern ,LOW,LOW,LOW,LOW,LOW,LOW
DeWitt2008,LOW,Some concern ,LOW,LOW,LOW,LOW,LOW
Ibraheim et al.2008,Some concern ,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
蒋亚峰等2009,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
杨宁2009,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
Kamal et al.2009,Some concern ,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
徐源2010,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
Ellerkmann et al.2010,LOW,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
Liao et al.2011,LOW,Some concern ,LOW,LOW,LOW,LOW,LOW
Zhang et al.2011,Some concern ,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
陈金篆2011,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
李坤2011,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
刘稚媛2011,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
沈艳喜2011,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
王占天2011,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
吴刚2011,HIGH,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
张伟2011,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
Mashour et al.2012,LOW,LOW,LOW,LOW,LOW,LOW,LOW
Persec et al.2012,LOW,Some concern ,LOW,LOW,LOW,LOW,LOW
Radtke2013,LOW,LOW,LOW,LOW,LOW,LOW,Some concern 
Bresil et al.2013,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
Chan et al.2013,LOW,LOW,LOW,LOW,LOW,LOW,LOW
陈琳2013,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
刘忠玉2013,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
苏毅2013,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
Nitzschke et al.2014,Some concern ,Some concern ,LOW,LOW,LOW,LOW,Some concern 
段静辉2014,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
田悦2014,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
Mozafari et al.2014,LOW,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
Guo et al2015,LOW,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
Sargin et al.2015,LOW,Some concern ,LOW,LOW,LOW,LOW,LOW
杜卫东2015,LOW,Some concern ,Some concern ,LOW,LOW,LOW,LOW
姜蓉2015,LOW,LOW,Some concern ,Some concern ,LOW,LOW,LOW
蒋耀光2015,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
刘云青2015,HIGH,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
齐金莲2015,Some concern ,Some concern ,LOW,Some concern ,LOW,LOW,LOW
姚莺2015,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
钱露露2016,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
孙占磊2016,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
Khoshrang et al.2016,LOW,Some concern ,HIGH,LOW,LOW,Some concern ,LOW
郝利娜2017,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
张晓青2017,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
Rusch et al2018,LOW,LOW,LOW,LOW,LOW,LOW,LOW
Zhou et al.2018,LOW,LOW,LOW,LOW,LOW,LOW,LOW
陈星曲2018,LOW,LOW,LOW,LOW,LOW,LOW,LOW
范龙2018,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
姜景卫2018,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
庞博2018,HIGH,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
王芳茹2018,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
吴志兰2018,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
叶阮昊2018,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
张琦2018,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
郑晓宁2018,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
Sudhakaran et al.2018,LOW,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
Mehmet et al.2019,LOW,LOW,LOW,LOW,LOW,LOW,LOW
Wildes2019,LOW,LOW,LOW,LOW,LOW,LOW,Some concern 
范梅笑等2019,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
高英超2019,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
桂强军等2019,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
刘冰等2019,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
袁秀仪等2019,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
Kunst2020,LOW,LOW,LOW,LOW,LOW,LOW,Some concern 
陈陈燕等2020,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
陈新凯等2020,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
李小莉2020,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
张爱萍等2020,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
赖翠瑶2020,LOW,Some concern ,HIGH,Some concern ,LOW,Some concern ,LOW
Brown et al.2021,LOW,LOW,LOW,LOW,LOW,LOW,LOW
陈伟涛2021,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
黄梁淘等2021,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
李其金等2021,LOW,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
邵路军2021,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
吴正文等2021,Some concern ,Some concern ,Some concern ,Some concern ,LOW,LOW,LOW
